table_name,column_name,data_type,is_nullable,column_default
action_outcomes,id,integer,NO,nextval('action_outcomes_id_seq'::regclass)
action_outcomes,user_id,uuid,NO,null
action_outcomes,action_id,integer,YES,null
action_outcomes,verification_date,timestamp with time zone,YES,null
action_outcomes,days_after_execution,integer,YES,null
action_outcomes,intended_target,double precision,YES,null
action_outcomes,actual_achievement,double precision,YES,null
action_outcomes,achievement_percentage,double precision,YES,null
action_outcomes,success,boolean,YES,null
action_outcomes,deviation,double precision,YES,null
action_outcomes,deviation_reason,text,YES,null
action_outcomes,influencing_factors,jsonb,YES,null
action_outcomes,learnings,text,YES,null
action_outcomes,optimization_suggestions,jsonb,YES,null
action_outcomes,created_at,timestamp with time zone,YES,now()
agent_logs,log_id,uuid,NO,gen_random_uuid()
agent_logs,user_id,uuid,YES,null
agent_logs,agent_name,character varying,NO,null
agent_logs,execution_timestamp,timestamp without time zone,YES,CURRENT_TIMESTAMP
agent_logs,input_data,jsonb,YES,null
agent_logs,output_data,jsonb,YES,null
agent_logs,confidence_score,numeric,YES,null
agent_logs,execution_time_ms,integer,YES,null
agent_logs,success,boolean,YES,null
agent_logs,error_message,text,YES,null
agent_logs,model_version,character varying,YES,null
agent_logs,created_at,timestamp without time zone,YES,CURRENT_TIMESTAMP
bank_accounts,account_id,uuid,NO,gen_random_uuid()
bank_accounts,user_id,uuid,YES,null
bank_accounts,account_name,text,YES,null
bank_accounts,provider,text,YES,null
bank_accounts,account_number,text,YES,null
bank_accounts,current_balance,numeric,NO,0.00
bank_accounts,currency,character varying,YES,'INR'::character varying
bank_accounts,is_active,boolean,YES,true
bank_accounts,created_at,timestamp without time zone,YES,CURRENT_TIMESTAMP
bank_accounts,updated_at,timestamp without time zone,YES,CURRENT_TIMESTAMP
budgets,budget_id,uuid,NO,gen_random_uuid()
budgets,user_id,uuid,YES,null
budgets,budget_type,character varying,YES,null
budgets,valid_from,date,YES,null
budgets,valid_until,date,YES,null
budgets,total_income_expected,numeric,YES,null
budgets,fixed_costs,jsonb,YES,null
budgets,variable_costs,jsonb,YES,null
budgets,savings_target,numeric,YES,null
budgets,discretionary_budget,numeric,YES,null
budgets,category_limits,jsonb,YES,null
budgets,confidence_score,numeric,YES,null
budgets,created_at,timestamp without time zone,YES,CURRENT_TIMESTAMP
budgets,is_active,boolean,YES,true
context_events,id,integer,NO,nextval('context_events_id_seq'::regclass)
context_events,user_id,uuid,NO,null
context_events,event_type,character varying,NO,null
context_events,event_name,character varying,NO,null
context_events,event_date,date,NO,null
context_events,weather_condition,character varying,YES,null
context_events,temperature,double precision,YES,null
context_events,weather_impact_factor,double precision,YES,null
context_events,income_impact_percentage,double precision,YES,null
context_events,occupation_impact,jsonb,YES,null
context_events,recommendations,jsonb,YES,null
context_events,created_at,timestamp with time zone,YES,now()
context_events,event_analyzed_date,timestamp with time zone,YES,null
executed_actions,id,integer,NO,nextval('executed_actions_id_seq'::regclass)
executed_actions,user_id,uuid,NO,null
executed_actions,action_type,character varying,NO,null
executed_actions,action_description,text,YES,null
executed_actions,status,character varying,YES,null
executed_actions,amount,double precision,NO,null
executed_actions,target_account,character varying,YES,null
executed_actions,target_entity,character varying,YES,null
executed_actions,user_approved,boolean,YES,null
executed_actions,approval_date,timestamp with time zone,YES,null
executed_actions,requires_2fa,boolean,YES,null
executed_actions,security_verification_id,character varying,YES,null
executed_actions,execution_date,timestamp with time zone,YES,null
executed_actions,transaction_id,character varying,YES,null
executed_actions,schedule,character varying,YES,null
executed_actions,next_execution,date,YES,null
executed_actions,recurrence_count,integer,YES,null
executed_actions,is_reversible,boolean,YES,null
executed_actions,reversal_requested,boolean,YES,null
executed_actions,reversal_date,timestamp with time zone,YES,null
executed_actions,audit_trail,jsonb,YES,null
executed_actions,error_message,text,YES,null
executed_actions,created_at,timestamp with time zone,YES,now()
executed_actions,updated_at,timestamp with time zone,YES,null
government_schemes,scheme_id,uuid,NO,gen_random_uuid()
government_schemes,scheme_name,character varying,NO,null
government_schemes,scheme_code,character varying,YES,null
government_schemes,description,text,YES,null
government_schemes,eligibility_criteria,jsonb,YES,null
government_schemes,benefits,text,YES,null
government_schemes,application_process,text,YES,null
government_schemes,required_documents,jsonb,YES,null
government_schemes,scheme_type,character varying,YES,null
government_schemes,max_benefit_amount,numeric,YES,null
government_schemes,interest_rate,numeric,YES,null
government_schemes,government_level,character varying,YES,null
government_schemes,state_applicable,character varying,YES,null
government_schemes,valid_from,date,YES,null
government_schemes,valid_until,date,YES,null
government_schemes,official_url,text,YES,null
government_schemes,contact_info,jsonb,YES,null
government_schemes,is_active,boolean,YES,true
government_schemes,created_at,timestamp without time zone,YES,CURRENT_TIMESTAMP
government_schemes,updated_at,timestamp without time zone,YES,CURRENT_TIMESTAMP
human_escalations,id,integer,NO,nextval('human_escalations_id_seq'::regclass)
human_escalations,user_id,uuid,NO,null
human_escalations,risk_assessment_id,integer,YES,null
human_escalations,escalation_reason,text,NO,null
human_escalations,escalation_priority,character varying,YES,null
human_escalations,escalation_date,timestamp with time zone,YES,now()
human_escalations,assigned_advisor_id,character varying,YES,null
human_escalations,assigned_advisor_name,character varying,YES,null
human_escalations,advisor_contacted,timestamp with time zone,YES,null
human_escalations,advisor_response,text,YES,null
human_escalations,advisor_recommendations,jsonb,YES,null
human_escalations,resolution_date,timestamp with time zone,YES,null
human_escalations,resolution_status,character varying,YES,null
human_escalations,resolution_notes,text,YES,null
human_escalations,follow_up_scheduled,timestamp with time zone,YES,null
human_escalations,follow_up_completed,boolean,YES,null
human_escalations,created_at,timestamp with time zone,YES,now()
human_escalations,updated_at,timestamp with time zone,YES,null
income_forecasts,id,integer,NO,nextval('income_forecasts_id_seq'::regclass)
income_forecasts,user_id,uuid,NO,null
income_forecasts,forecast_start_date,date,NO,null
income_forecasts,forecast_end_date,date,NO,null
income_forecasts,historical_days,integer,YES,90
income_forecasts,historical_total_income,double precision,YES,null
income_forecasts,historical_earning_days,integer,YES,null
income_forecasts,historical_avg_daily,double precision,YES,null
income_forecasts,historical_std_dev,double precision,YES,null
income_forecasts,volatility_index,double precision,YES,null
income_forecasts,pessimistic_scenario,jsonb,YES,null
income_forecasts,realistic_scenario,jsonb,YES,null
income_forecasts,optimistic_scenario,jsonb,YES,null
income_forecasts,weighted_forecast,double precision,YES,null
income_forecasts,forecast_range_min,double precision,YES,null
income_forecasts,forecast_range_max,double precision,YES,null
income_forecasts,weekday_breakdown,jsonb,YES,null
income_forecasts,recent_trend,character varying,YES,null
income_forecasts,forecast_confidence,double precision,YES,null
income_forecasts,ai_reasoning,text,YES,null
income_forecasts,created_at,timestamp with time zone,YES,now()
income_forecasts,valid_until,timestamp with time zone,YES,null
income_patterns,pattern_id,uuid,NO,gen_random_uuid()
income_patterns,user_id,uuid,YES,null
income_patterns,pattern_type,character varying,YES,null
income_patterns,avg_income,numeric,YES,null
income_patterns,min_income,numeric,YES,null
income_patterns,max_income,numeric,YES,null
income_patterns,confidence_score,numeric,YES,null
income_patterns,weekday_income,jsonb,YES,null
income_patterns,monthly_trend,jsonb,YES,null
income_patterns,peak_hours,jsonb,YES,null
income_patterns,weather_impact,jsonb,YES,null
income_patterns,seasonal_factors,jsonb,YES,null
income_patterns,last_calculated,timestamp without time zone,YES,null
